ID,BATCH_ID,X_AXIS,Y_AXIS,Z_AXIS
1,1,44,-120,-955
2,1,-98,-122,-988
3,1,4,39,-1006
4,1,30,-171,-1011
5,1,114,-158,-1010
6,1,143,-99,-1012
7,1,114,-96,-999
8,1,81,-148,-975
9,1,26,-42,-987
10,1,120,-54,-1028
11,1,-99,-51,-937
12,1,135,5,-1080
13,1,-25,-170,-991
14,1,-16,-83,-966
15,1,-23,-51,-963
16,1,13,8,-995
17,1,40,14,-1046
18,1,20,-37,-1079
19,1,-24,-102,-1089
20,1,-89,-98,-1027
21,2,24,-154,-903
22,2,-175,-73,-846
23,2,-97,0,-400
24,2,55,126,-1158
25,2,627,-34,-1077
26,2,458,-164,-944
27,2,-404,-92,-1158
28,2,287,-72,-1034
29,2,363,-118,-998
30,2,93,-171,-1039
31,2,-40,-170,-972
32,2,35,-118,-960
33,2,56,-9,-976
34,2,18,49,-979
35,2,-2,67,-977
36,2,0,61,-959
37,2,-4,21,-947
38,2,-3,-47,-941
39,2,8,-77,-957
40,2,41,-90,-992
41,3,92,-91,-1014
42,3,49,-46,-1052
43,3,0,0,-1027
44,3,33,122,-1103
45,3,175,475,-1001
46,3,221,210,-1014
47,3,-31,151,-968
48,3,-107,226,-960
49,3,-35,75,-947
50,3,38,78,-952
51,3,44,103,-985
52,3,28,95,-1005
53,3,16,84,-1002
54,3,10,83,-1006
55,3,-22,95,-1026
56,3,-57,124,-1003
57,3,9,92,-980
58,3,21,44,-958
59,3,-29,37,-955
60,3,-62,83,-933
61,4,-41,113,-952
62,4,-22,169,-1012
63,4,-35,203,-1052
64,4,-54,186,-1037
65,4,-57,143,-1002
66,4,-54,98,-969
67,4,-37,70,-958
68,4,-34,64,-965
69,4,-30,55,-984
70,4,-19,51,-978
71,4,-2,55,-967
72,4,12,59,-964
73,4,19,79,-964
74,4,20,109,-970
75,4,22,121,-979
76,4,24,150,-989
77,4,13,160,-985
78,4,6,141,-989
79,4,-15,130,-971
80,4,-10,121,-956
81,5,11,106,-938
82,5,9,89,-1006
83,5,5,138,-1053
84,5,-21,165,-996
85,5,-38,153,-976
86,5,-14,137,-954
87,5,0,90,-963
88,5,-1,94,-977
89,5,0,110,-989
90,5,7,122,-1003
91,5,0,130,-998
92,5,-8,141,-989
93,5,-8,145,-976
94,5,-14,130,-955
95,5,-11,84,-941
96,5,-16,76,-952
97,5,-1,94,-993
98,5,16,117,-985
99,5,4,134,-982
100,5,0,165,-997
101,6,10,206,-989
102,6,0,205,-982
103,6,-10,201,-985
104,6,6,190,-972
105,6,5,178,-968
106,6,1,173,-977
107,6,7,166,-971
108,6,9,166,-985
109,6,7,169,-987
110,6,1,175,-975
111,6,1,170,-978
112,6,0,172,-972
113,6,-2,175,-970
114,6,0,172,-979
115,6,-4,171,-979
116,6,0,165,-979
117,6,0,157,-981
118,6,2,161,-990
119,6,3,159,-983
120,6,2,151,-979
121,7,5,145,-973
122,7,6,135,-970
123,7,0,142,-973
124,7,0,144,-975
125,7,9,145,-977
126,7,6,148,-977
127,7,0,151,-973
128,7,4,151,-975
129,7,5,149,-975
130,7,1,151,-975
131,7,2,156,-974
132,7,3,152,-983
133,7,0,161,-976
134,7,-2,162,-973
135,7,-1,154,-975
136,7,-2,151,-975
137,7,0,160,-977
138,7,0,156,-976
139,7,3,158,-974
140,7,0,156,-975
141,8,-6,161,-979
142,8,0,156,-979
143,8,3,156,-985
144,8,1,155,-976
145,8,1,150,-972
146,8,-3,161,-966
