X_AXIS,Y_AXIS,Z_AXIS
-192.57520254916483,-844.8643134982751,29.114471665612886
-217.80224947635975,-1106.8833421496263,-487.6416814064018
-129.66145639938168,-998.6078754907458,-192.11743999703944
-288.73312571174836,-1050.8934157402184,-296.69269667930445
-156.19301919204634,-861.0208900192786,-193.14703715737238
-480.2296596049588,-976.6425543763271,-267.6808063746
-384.9684723573402,-922.2164950195241,-160.40779482781585
-251.55320893000865,-917.9320802477581,-184.4034160850528
-228.59850181657941,-1020.9050336362316,-217.00452350470948
-379.6664287769699,-1004.0127636644404,-175.06735033331577
-227.89238786286728,-1003.2951407866988,-205.92622406522844
-391.73923328351003,-1220.108173356195,-405.4930366813751
-222.6166435146882,-877.2218349300163,-116.25306968889042
-1180.5472936317092,-1243.7775332390736,244.394552490103
533.011549663442,-946.1260271782425,-611.7077617264397
744.6516641726481,-268.89627554082506,-493.7384883035141
-639.5644136050429,-515.3035486133068,-416.72937611173785
17.56507999487504,-932.7349262847746,-399.3832518914894
-152.78111887024548,-993.8692264529378,-413.1418746470073
29.161279054329647,-830.0581856913974,-517.8707523263764
-188.7190485923977,-643.072035848182,-512.3593960291657
-193.272524148603,-647.3938799082424,-508.00020498154225
-410.60042539439365,-700.8948520160922,-348.7795818584067
-423.5790270107134,-666.3025673282986,-347.7205391534925
-657.2973262692927,-649.4021022046431,-283.40663704251733
-589.3202118923547,-798.8727289399379,-271.5707118169886
-535.0538755325259,-1018.5412410712541,-135.24965508587
-382.3701156840196,-1061.3747732557165,-70.96860137893623
-447.6196488460459,-929.3630633787142,-80.12865038292946
-338.04810579884884,-984.6893157729588,-186.92584100678684
-226.90094945954712,-739.0399186774812,-190.37772990866122
-70.12903579128648,-611.8340095591276,-628.2548521954513
-53.68254084362094,-564.6857475266208,-861.8116897264617
49.66436096294595,-537.9524653010001,-966.6849826664449
-12.083445842172274,-470.7874673964279,-849.2396285490723
-15.650477161407059,-366.5363382857701,-922.0697280484295
-72.34995108257917,-254.37326167102438,-1140.8250408025203
-10.529164660627119,-432.7293099610214,-1555.294749895271
100.30930993269688,-835.6183887860684,-1636.7057678598233
198.3621707643754,-310.8590465770561,-1288.3103894455046
-97.09475226939838,60.28935814290301,-1054.8107904808917
-146.77651830682134,-35.4225048909821,-992.0637896750085
-134.76158481630404,-135.97135055638356,-967.7300654302636
-133.93284042235842,-274.80069984095894,-979.2417655997117
-179.73969164916036,-411.79442878326165,-861.6620141109573
-99.93199644049102,-379.7000813101835,-958.2229145794764
-104.94113868104921,-73.82779755663177,-1028.9084536275702
-104.02932551739356,-18.045312478263057,-1233.6885968857123
-117.28611213474662,-205.36898779386135,-1123.8865266677667
-134.62483393895764,-382.28970057154334,-843.7827767391368
-160.63588657565907,-607.1880111873106,-713.2355095658374
-155.75418350634376,-569.2131395314021,-735.0306908935164
-159.48928949843054,-760.8186436671095,-704.8408551112971
-105.67850186702165,-833.362540164605,-615.9424941249157
-129.43270771062421,-804.1159739583098,-609.5445190643616
-87.49531065616056,-770.8908151359744,-636.1429339930022
-88.09217328298621,-785.3890472225055,-641.732820170557
-95.24984169066367,-745.9761891924768,-696.3903145159616
-108.07787322156081,-786.7885546321477,-709.5606204541315
-71.55038517236083,-759.9509925829659,-673.7391474469641
-96.38883936393196,-757.2194250593159,-662.6014426875493
-95.02093960156078,-717.0852123003095,-681.4796253199215
-103.26625645146879,-748.1240620296363,-719.3457346705072
-68.28287361728967,-667.5043574930775,-728.9259165335433
-104.38259501014439,-653.8045125139746,-752.0289169680005
-106.30530927841134,-716.323398292545,-733.0983290837465
-111.9767471304167,-753.3934184660751,-692.471957293681
-83.81545982420401,-748.9220180336009,-678.1822598296131
-102.88236420200069,-754.8101580457034,-691.5519126587456
-100.67573517624835,-715.2274406311302,-715.9105717791515
-99.04709091663585,-734.1899282481808,-709.3892776309388
-68.15228534475952,-743.617184368906,-691.6850527306032
-94.85349040091921,-735.3219940201006,-682.9187567637013
-102.40575185040122,-722.6928956727929,-696.1248484497994
-113.1832575057312,-749.1006694518896,-707.3448006158743
-92.377804638444,-719.3045556610055,-711.0701712794115
-110.76139094372029,-703.6300477692909,-739.3112323840115
-85.70120286893982,-697.9289747495644,-736.8303945267767
-107.15939739235226,-687.4043584516089,-719.548871761472
-103.58253434063192,-707.3419347197855,-731.1395860070566
-126.74612297005024,-738.7435510922037,-724.5961705343112
-105.85023102750223,-706.981161880983,-728.4660159035759
-119.07444731877892,-641.0509070786403,-737.9133935078902
-91.98801154653731,-680.0631264037355,-740.0504242702978
-99.13213862156907,-725.993492452587,-725.4434598658579
-107.1997325375085,-699.0921410543862,-719.4216267538633
-103.03195940777736,-745.2076837593772,-712.8022116032422
-93.82203677330716,-698.3575254434256,-709.167747659335
-108.43053780382336,-695.6242319044064,-731.2717411456256
-88.11729326208393,-749.540751236003,-721.057374061102
-100.9056071603055,-732.5367156940222,-701.8164268159314
-93.36712003109686,-707.0194683966262,-701.4932905436748
-121.32078498874114,-711.5995011175478,-692.4883112622025
-100.7181040195048,-729.6857968682532,-718.2211641040419
-92.14963526545795,-758.5689045428974,-723.0539391578723
-86.25038549353562,-696.8585463172802,-714.8779479045181
-112.39073856495776,-671.2380740391504,-725.9505359916664
-102.96084284953834,-722.8536615823833,-729.352066608744
-99.71966060204001,-738.4253180595509,-712.5005182198722
-91.08398934797052,-723.497687756077,-722.7976479660867
-90.89393423534138,-747.9327792842494,-717.7148758053817
-71.588839756874,-743.730103806544,-693.9348195586534
-80.92908643088572,-747.1295195864353,-720.7784826097791
-68.98618355391692,-881.5385095596525,-709.5033907264489
-25.22060088747427,-771.8816334150702,-611.5253644324983
